번호,유형,질문,보기,정답,해설
1,객관식,질량 보존 법칙을 발견한 과학자는?,"1.프루스트, 2.라부아지에, 3.돌턴, 4.아보가드로",2,정밀 측정을 통해 라부아지에가 발견했습니다.
2,OX,나무를 태운 후 재의 질량은 처음보다 줄어든다.,O/X,O,기체가 날아가는 열린 용기이기 때문입니다.
3,단답형,질량이 보존되는 이유는 ( )의 종류와 개수가 일정해서다.,,원자,원자는 생성되거나 소멸되지 않습니다.
4,객관식,앙금 생성 반응 시 질량의 변화는?,"1.증가, 2.감소, 3.일정, 4.알 수 없음",3,닫힌 계와 같은 효과가 나타납니다.
5,OX,기체 발생 반응을 밀폐 용기에서 하면 질량이 일정하다.,O/X,O,빠져나가는 기체를 막으면 일정합니다.
6,객관식,철 10g이 산소와 반응해 14g 산화 철이 되면 산소 질량은?,"1.2g, 2.4g, 3.10g, 4.24g",2,14 - 10 = 4g입니다.
7,OX,질량 보존 법칙은 물리 변화에서도 성립한다.,O/X,O,물리/화학 변화 모두 성립합니다.
8,단답형,탄산 칼슘과 염산 반응 시 발생하는 기체는?,,이산화 탄소,기체 발생으로 질량이 줄어드는 예시입니다.
9,객관식,질량 보존 확인이 어려운 경우는?,"1.밀폐 용기, 2.열린 비커(기체 발생), 3.풍선, 4.진공",2,기체가 날아가 버리기 때문입니다.
10,객관식,강철솜 연소 시 질량이 늘어나는 이유는?,"1.질소 결합, 2.CO2 결합, 3.산소 결합, 4.수소 결합",3,산소와 결합하여 고체가 됩니다.
