번호,유형,질문,보기,정답,해설
1,객관식,화학 반응식 화살표 왼쪽에 적는 것은?,"1.생성물, 2.반응물, 3.촉매, 4.에너지",2,"왼쪽은 반응물, 오른쪽은 생성물입니다."
2,OX,반응 전후 원자의 종류와 개수는 같아야 한다.,O/X,O,원자 보존의 원칙 때문입니다.
3,객관식,수소와 산소가 반응해 물이 되는 식의 계수는?,"1.1-1-1, 2.2-1-2, 3.1-2-1, 4.2-2-2",2,2H2 + O2 -> 2H2O
4,단답형,분자 앞에 붙여 개수를 나타내는 숫자는?,,계수,식 앞의 큰 숫자를 계수라고 합니다.
5,OX,화학 반응식의 계수비는 항상 질량비와 같다.,O/X,X,계수비는 분자 수의 비입니다.
6,객관식,N2 + 3H2 -> 2NH3 에서 질소 1개당 필요한 수소는?,"1.1개, 2.2개, 3.3개, 4.4개",3,계수가 1:3:2입니다.
7,단답형,기호와 숫자로 반응을 나타낸 식은?,,화학 반응식,약속된 기호로 나타낸 식입니다.
8,객관식,계수를 맞출 때 절대 바꾸면 안 되는 숫자는?,"1.계수, 2.첨자(작은 숫자), 3.화살표, 4.더하기",2,첨자를 바꾸면 물질 종류가 바뀝니다.
9,OX,반응식으로 물질의 상태를 표시할 수 있다.,O/X,O,"(s), (l), (g) 등으로 표시합니다."
10,객관식,메테인(CH4) 1개 연소 시 생기는 물 분자 수는?,"1.1개, 2.2개, 3.3개, 4.4개",2,수소 4개이므로 물 2개가 생성됩니다.
