번호,유형,질문,보기,정답,해설
1,객관식,에너지를 주변으로 방출하는 반응은?,"1.발열 반응, 2.흡열 반응, 3.단열 반응, 4.냉각 반응",1,열을 내보내는 발열 반응입니다.
2,OX,발열 반응이 일어나면 주변 온도가 올라간다.,O/X,O,열이 방출되어 따뜻해집니다.
3,객관식,식물의 광합성은 어떤 에너지 변화인가?,"1.발열, 2.흡열, 3.방출, 4.가열",2,빛에너지를 흡수하는 흡열 반응입니다.
4,단답형,주변에서 에너지를 흡수하여 온도를 낮추는 반응은?,,흡열 반응,주변이 차가워지는 반응입니다.
5,OX,연소 반응은 대표적인 흡열 반응이다.,O/X,X,빛과 열을 내는 대표적 발열 반응입니다.
6,객관식,휴대용 손난로의 원리가 되는 반응은?,"1.연소, 2.산화, 3.용해, 4.중화",2,철의 산화(발열) 반응을 이용합니다.
7,OX,세포 호흡은 체온을 유지해주는 발열 반응이다.,O/X,O,양분을 분해해 에너지를 냅니다.
8,단답형,발열 반응에서 반응물의 에너지는 생성물보다 ( ).,,크다,남는 에너지를 방출하기 때문입니다.
9,객관식,흡열 반응의 사례로 옳은 것은?,"1.금속 부식, 2.산과 염기 반응, 3.수산화 바륨과 질산 암모늄 반응, 4.나무 연소",3,주변 온도가 급격히 낮아지는 반응입니다.
10,객관식,염화 칼슘 제설제가 눈을 녹이는 원리는?,"1.흡열, 2.발열, 3.응고, 4.기화",2,물에 녹으며 열을 내어 눈을 녹입니다.
