번호,유형,질문,보기,정답,해설
1,객관식,일정 성분비 법칙을 발견한 과학자는?,"1.프루스트, 2.라부아지에, 3.돌턴, 4.보일",1,프루스트가 제안했습니다.
2,OX,일정 성분비 법칙은 혼합물에서도 성립한다.,O/X,X,화합물에서만 성립합니다.
3,객관식,산화 구리(II) 생성 시 구리와 산소의 질량비는?,"1.1:1, 2.2:1, 3.4:1, 4.5:1",3,실험 결과 4:1의 질량비를 가집니다.
4,단답형,화합물 구성 원소 사이의 일정한 질량 관계는?,,일정 성분비 법칙,고유한 질량비를 가집니다.
5,OX,물(H2O)에서 수소와 산소의 질량비는 1:8이다.,O/X,O,수소 1g당 산소 8g이 결합합니다.
6,객관식,구리 8g을 완전히 연소시키면 산화 구리는 몇 g인가?,"1.2g, 2.8g, 3.10g, 4.12g",3,구리:산소=4:1이므로 8:2=10g 생성됩니다.
7,OX,화합물의 성분이 일정하면 원자 배열도 일정하다.,O/X,O,일정한 원자 수의 비로 결합하기 때문입니다.
8,단답형,수소 2g과 산소 20g으로 물을 만들 때 남는 물질은?,,산소,1:8비율이므로 산소 16g만 사용되어 4g 남습니다.
9,객관식,일정 성분비 법칙의 근거가 되는 가설은?,"1.원자설, 2.분자설, 3.아보가드로설, 4.기체설",1,돌턴의 원자설로 설명 가능합니다.
10,객관식,과산화 수소와 물의 성분비가 다른 이유는?,"1.원자 종류 다름, 2.원자 수 비 다름, 3.온도 다름, 4.압력 다름",2,결합하는 원자 수의 비가 다르기 때문입니다.
4,단답형,같은 부피 속 같은 수의 분자가 들어있다는 법칙은?,,아보가드로 법칙,모든 기체에 적용됩니다.
